image_width,image_height,tile_width,tile_height,image_date,imagery_type,projection_type,pano_yaw_deg,tilt_yaw_deg,tilt_pitch_deg,panoId,zoomLevels,lat,lng,original_lat,original_lng,elevation_wgs84_m,description,streetRange,region,country,elevation_egm96_m,links_cnt,link_forward_yawDeg,link_f_panoId,link_f_road_argb,link_f_description,link_backward_yawDeg,link_b_panoId,link_b_road_argb,link_b_description,link_others
16384,8192,512,512,2022-2,1,spherical,94.5309829711914,87.44007110595703,359.6905517578125,sJm_PTo5sdMLccs2XsFOJQ,,33.99084148116425,-81.00553709629793,,,,2714 Heyward St,,Columbia; South Carolina,US,87.18231964111328,2,94.34952545166016,HWNdVqAf90a1evopt2Oaow,,Heyward St,274.3654174804688,7scskWkS3f0TlHblKMsN9w,,Heyward St
16384,8192,512,512,2022-2,1,spherical,94.81648254394531,87.5792236328125,359.7816467285156,HWNdVqAf90a1evopt2Oaow,,33.9908329373578,-81.00542869593411,,,,2716 Heyward St,,Columbia; South Carolina,US,86.83301544189453,2,94.40461730957031,VQyJI_QhA31YcKqD8uMLTw,,Heyward St,274.3495178222656,sJm_PTo5sdMLccs2XsFOJQ,,Heyward St
16384,8192,512,512,2022-2,1,spherical,95.61062622070312,87.65165710449219,0.2070737779140472,VQyJI_QhA31YcKqD8uMLTw,,33.99082421069891,-81.0053224027423,,,,2718 Heyward St,,Columbia; South Carolina,US,86.51724243164062,2,94.34912872314453,1stgjxbYI9gxL3PJ7DbSBw,,Heyward St,274.4046325683594,HWNdVqAf90a1evopt2Oaow,,Heyward St
16384,8192,512,512,2022-2,1,spherical,97.359619140625,87.58270263671875,0.6641716361045837,1stgjxbYI9gxL3PJ7DbSBw,,33.99081315331543,-81.00521653087205,,,,2718 Heyward St,,Columbia; South Carolina,US,86.2155990600586,2,94.34295654296875,AdJs0TBvP6SC603OOmn4XQ,,Heyward St,274.34912109375,VQyJI_QhA31YcKqD8uMLTw,,Heyward St
16384,8192,512,512,2022-2,1,spherical,97.67767333984375,87.91756439208984,0.6004317402839661,AdJs0TBvP6SC603OOmn4XQ,,33.99080082059436,-81.00511167037651,,,,2717 Heyward St,,Columbia; South Carolina,US,85.91046905517578,2,94.39747619628906,5kTjuAGYp5jNzaOpt54sWQ,,Heyward St,274.3429565429688,1stgjxbYI9gxL3PJ7DbSBw,,Heyward St
16384,8192,512,512,2022-2,1,spherical,96.41649627685547,88.05867767333984,1.903461337089539,5kTjuAGYp5jNzaOpt54sWQ,,33.9907890843448,-81.00500689403482,,,,2724 Heyward St,,Columbia; South Carolina,US,85.67462158203125,2,94.34078216552734,15oCd-mPagUVtzLLr7urPg,,Heyward St,274.3974914550781,AdJs0TBvP6SC603OOmn4XQ,,Heyward St
16384,8192,512,512,2022-2,1,spherical,95.09471893310547,88.34529113769531,1.911146640777588,15oCd-mPagUVtzLLr7urPg,,33.99077987822244,-81.00490211755404,,,,2730 Heyward St,,Columbia; South Carolina,US,85.46007537841797,2,94.39494323730469,kg5Va-TcYa2Ud43zQRGhxg,,Heyward St,274.3407897949219,5kTjuAGYp5jNzaOpt54sWQ,,Heyward St
16384,8192,512,512,2022-2,1,spherical,93.6993179321289,88.45743560791016,1.713865399360657,kg5Va-TcYa2Ud43zQRGhxg,,33.990772774337,-81.00479725664079,,,,2719 Heyward St,,Columbia; South Carolina,US,85.29838562011719,2,94.34712982177734,2eW9USFyCV5KRNuQeeVuvg,,Heyward St,274.3949584960938,15oCd-mPagUVtzLLr7urPg,,Heyward St
16384,8192,512,512,2022-2,1,spherical,92.35017395019531,88.62527465820312,1.535264134407043,2eW9USFyCV5KRNuQeeVuvg,,33.9907662009874,-81.00464215664228,,,,2732 Heyward St,,Columbia; South Carolina,US,85.06014251708984,2,94.37306213378906,Q1nm7SSKRmPKA1mtQBeEOQ,,Heyward St,274.3471374511719,kg5Va-TcYa2Ud43zQRGhxg,,Heyward St
16384,8192,512,512,2022-2,1,spherical,93.58373260498047,88.77655792236328,1.11917519569397,Q1nm7SSKRmPKA1mtQBeEOQ,,33.99076168725367,-81.00454041424946,,,,2725 Heyward St,,Columbia; South Carolina,US,84.93793487548828,2,94.38665008544922,Pa0i4gXhjfPGumg0GZ5NEw,,Heyward St,274.3730773925781,2eW9USFyCV5KRNuQeeVuvg,,Heyward St
16384,8192,512,512,2022-2,1,spherical,95.33656311035156,88.6913833618164,1.168606162071228,Pa0i4gXhjfPGumg0GZ5NEw,,33.99075060075545,-81.0043881797366,,,,2741 Heyward St,,Columbia; South Carolina,US,84.66682434082031,2,94.34113311767578,G7_FO5CzMoe5qXGKcnCI5A,,Heyward St,274.3866577148438,Q1nm7SSKRmPKA1mtQBeEOQ,,Heyward St
16384,8192,512,512,2022-2,1,spherical,94.71232604980469,88.7098617553711,0.7361299991607666,G7_FO5CzMoe5qXGKcnCI5A,,33.9907428812478,-81.00428298096479,,,,2744 Heyward St,,Columbia; South Carolina,US,84.53062438964844,2,94.36636352539062,ave-Rxhxi1XZqLG2rGBhLQ,,Heyward St,274.3411254882812,Pa0i4gXhjfPGumg0GZ5NEw,,Heyward St
16384,8192,512,512,2022-2,1,spherical,94.92942810058594,88.60153198242188,1.051692605018616,ave-Rxhxi1XZqLG2rGBhLQ,,33.9907352797538,-81.00418283969599,,,,2744 Heyward St,,Columbia; South Carolina,US,84.43187713623047,2,94.38008117675781,7jrOq7VpbYDAqcdwxxzjFw,,Heyward St,274.3663635253906,G7_FO5CzMoe5qXGKcnCI5A,,Heyward St
16384,8192,512,512,2022-2,1,spherical,95.12975311279297,89.65763854980469,0.5855200290679932,7jrOq7VpbYDAqcdwxxzjFw,,33.99072701129506,-81.004080506652,,,,2798 Heyward St,,Columbia; South Carolina,US,84.35775756835938,2,83.88621520996094,Uq-nJ568AjuOdFyVqd_tYA,,Maple St,274.3800964355469,ave-Rxhxi1XZqLG2rGBhLQ,,Heyward St
13312,6656,512,512,2014-7,1,spherical,183.862548828125,90.59414672851562,359.0975036621094,Uq-nJ568AjuOdFyVqd_tYA,,33.99076215967264,-81.00403768520707,,,,101 Maple St,,Columbia; South Carolina,US,85.39894104003906,4,185.4740753173828,NK9dGw4hzNk3UAyZgRR7GA,,S Maple St,4.159068584442139,Po-HGlF5WBAyrahfKZiV8Q,,Maple St,263.88623046875|7jrOq7VpbYDAqcdwxxzjFw||Heyward St|107.8522644042969|IRj6pgrJ47JxmowWxwPJMg||Heyward St
16384,8192,512,512,2022-2,1,spherical,352.31298828125,91.29952239990234,359.3669738769531,Po-HGlF5WBAyrahfKZiV8Q,,33.99083843714045,-81.00400481045996,,,,100 Maple St,,Columbia; South Carolina,US,84.61871337890625,2,184.1590728759766,Uq-nJ568AjuOdFyVqd_tYA,,Maple St,4.184365272521973,s6l_FF1QPXOS0cuToo138Q,,Maple St
16384,8192,512,512,2022-2,1,spherical,183.3706665039062,88.66273498535156,0.4609251916408539,s6l_FF1QPXOS0cuToo138Q,,33.9909264665453,-81.00403094167032,,,,101 Maple St,,Columbia; South Carolina,US,84.78895568847656,2,184.1843719482422,Po-HGlF5WBAyrahfKZiV8Q,,Maple St,4.150003433227539,kT0IYXXfJwtBq2l2t_NSSg,,Maple St
16384,8192,512,512,2022-2,1,spherical,184.8489685058594,89.81927490234375,1.53374445438385,kT0IYXXfJwtBq2l2t_NSSg,,33.99100839718216,-81.00402453530987,,,,101 Maple St,,Columbia; South Carolina,US,84.81108093261719,2,184.1500091552734,s6l_FF1QPXOS0cuToo138Q,,Maple St,4.135851860046387,nZ1LvJ8KJWBRTYVFiD5lFw,,Maple St
16384,8192,512,512,2022-2,1,spherical,279.9828491210938,91.00757598876953,1.414089798927307,IRj6pgrJ47JxmowWxwPJMg,,33.99076519951889,-81.00393889233607,,,,2801 Heyward St,,Columbia; South Carolina,US,84.14543914794922,2,287.8522644042969,Uq-nJ568AjuOdFyVqd_tYA,,Maple St,94.94985961914062,-apTLrvpSNEjvG8b5eWZ2A,,Heyward St
16384,8192,512,512,2022-2,1,spherical,93.675537109375,89.64164733886719,1.045458316802979,-apTLrvpSNEjvG8b5eWZ2A,,33.99071106181859,-81.00383672756467,,,,2800 Heyward St,,Columbia; South Carolina,US,84.1174087524414,2,94.95838928222656,k5-O4GqXpRuptfifbbEKiA,,Heyward St,274.9498596191406,IRj6pgrJ47JxmowWxwPJMg,,Heyward St
16384,8192,512,512,2022-2,1,spherical,93.48524475097656,89.69666290283203,0.7435612678527832,k5-O4GqXpRuptfifbbEKiA,,33.99070445888381,-81.00372031688427,,,,2806 Heyward St,,Columbia; South Carolina,US,84.11161041259766,2,95.00566864013672,ze6gfwt2C_4q1yTlUeCH5w,,Heyward St,274.9584045410156,-apTLrvpSNEjvG8b5eWZ2A,,Heyward St
16384,8192,512,512,2022-2,1,spherical,275.7554321289062,89.01351928710938,0.5402577519416809,ze6gfwt2C_4q1yTlUeCH5w,,33.99072723568063,-81.00360660346158,,,,2807 Heyward St,,Columbia; South Carolina,US,84.15994262695312,2,275.0056762695312,k5-O4GqXpRuptfifbbEKiA,,Heyward St,94.96050262451172,R-W7ERvp6zToS_CGhfHnaA,,Heyward St
16384,8192,512,512,2022-2,1,spherical,93.7459945678711,89.50283813476562,0.4035352170467377,R-W7ERvp6zToS_CGhfHnaA,,33.99068883106811,-81.00349702031953,,,,2809 Heyward St,,Columbia; South Carolina,US,84.39591217041016,2,94.9401626586914,JQxp623YuaK49p8BHzwuJg,,Heyward St,274.9605102539062,ze6gfwt2C_4q1yTlUeCH5w,,Heyward St
16384,8192,512,512,2022-2,1,spherical,94.3416748046875,89.5872802734375,0.4014394581317902,JQxp623YuaK49p8BHzwuJg,,33.99068557065638,-81.00339283189881,,,,2810 Heyward St,,Columbia; South Carolina,US,84.2423095703125,2,95.00706481933594,H249N2xGy4bjvV2RCOnPng,,Heyward St,274.9401550292969,R-W7ERvp6zToS_CGhfHnaA,,Heyward St
16384,8192,512,512,2022-2,1,spherical,94.45819854736328,89.76022338867188,0.8585867881774902,H249N2xGy4bjvV2RCOnPng,,33.99067753303714,-81.0032856087203,,,,2815 Heyward St,,Columbia; South Carolina,US,84.46697998046875,2,94.9471664428711,iZlXnP3b0UVZs7bp_qtPMw,,Heyward St,275.0070495605469,JQxp623YuaK49p8BHzwuJg,,Heyward St
16384,8192,512,512,2022-2,1,spherical,94.54458618164062,89.60162353515625,0.912450909614563,iZlXnP3b0UVZs7bp_qtPMw,,33.99067022406737,-81.00318142002057,,,,2814 Heyward St,,Columbia; South Carolina,US,84.52318572998047,2,94.94713592529297,DxbjbJpKHB9Sut2ACVUoww,,Heyward St,274.9471740722656,H249N2xGy4bjvV2RCOnPng,,Heyward St
16384,8192,512,512,2022-2,1,spherical,94.49480438232422,89.7846450805664,0.415544718503952,DxbjbJpKHB9Sut2ACVUoww,,33.99066309605261,-81.00307739977376,,,,2817 Heyward St,,Columbia; South Carolina,US,84.56798553466797,2,95.00262451171875,vFu4cCea3kkheGt941HrBA,,Heyward St,274.9471435546875,iZlXnP3b0UVZs7bp_qtPMw,,Heyward St
16384,8192,512,512,2022-2,1,spherical,93.95994567871094,89.89791107177734,0.6778637766838074,vFu4cCea3kkheGt941HrBA,,33.99065355917745,-81.00297388516194,,,,2818 Heyward St,,Columbia; South Carolina,US,84.92127990722656,2,94.94036102294922,Zz5dleaUI9Wt2KJ1IxhLxg,,Heyward St,275.0026245117188,DxbjbJpKHB9Sut2ACVUoww,,Heyward St
16384,8192,512,512,2022-2,1,spherical,93.76309967041016,90.05791473388672,0.6632718443870544,Zz5dleaUI9Wt2KJ1IxhLxg,,33.99065031063759,-81.00286986464167,,,,2819 Heyward St,,Columbia; South Carolina,US,84.47146606445312,2,95.00883483886719,hwRXTX5kfkv5Qx_f3z_svg,,Heyward St,274.9403686523438,vFu4cCea3kkheGt941HrBA,,Heyward St
16384,8192,512,512,2022-2,1,spherical,93.68548583984375,90.01591491699219,0.3542479574680328,hwRXTX5kfkv5Qx_f3z_svg,,33.99064126597028,-81.00275926893008,,,,2820 Heyward St,,Columbia; South Carolina,US,84.77459716796875,2,94.93955993652344,X4zFM0D_7uMnYTAbbvkUxw,,Heyward St,275.0088500976562,Zz5dleaUI9Wt2KJ1IxhLxg,,Heyward St
16384,8192,512,512,2022-2,1,spherical,94.31101989746094,89.77550506591797,0.5712518095970154,X4zFM0D_7uMnYTAbbvkUxw,,33.99063747633435,-81.00265592249248,,,,2821 Heyward St,,Columbia; South Carolina,US,84.62715911865234,2,94.99834442138672,hRockNpWcazaCdIyG00ZDQ,,Heyward St,274.9395446777344,hwRXTX5kfkv5Qx_f3z_svg,,Heyward St
16384,8192,512,512,2022-2,1,spherical,274.4134521484375,88.77790069580078,359.9357604980469,hRockNpWcazaCdIyG00ZDQ,,33.99065537743801,-81.00255738077956,,,,2824 Heyward St,,Columbia; South Carolina,US,84.70986938476562,2,274.9983520507812,X4zFM0D_7uMnYTAbbvkUxw,,Heyward St,94.95114135742188,H5MyHpV2g5ZwVArEPbu9SA,,Heyward St
16384,8192,512,512,2022-2,1,spherical,274.358642578125,88.95914459228516,359.4620056152344,H5MyHpV2g5ZwVArEPbu9SA,,33.99064781410517,-81.00244973498681,,,,2825 Heyward St,,Columbia; South Carolina,US,84.81534576416016,2,274.9511413574219,hRockNpWcazaCdIyG00ZDQ,,Heyward St,94.96031188964844,KwaxSBQx7TJ-s0jR3yrzIg,,Heyward St
16384,8192,512,512,2022-2,1,spherical,95.10252380371094,90.92896270751953,0.3929395973682404,KwaxSBQx7TJ-s0jR3yrzIg,,33.99061241077418,-81.00233509247762,,,,2829 Heyward St,,Columbia; South Carolina,US,84.96574401855469,2,95.0059585571289,WrhnlrRYYrg07f0-UyGw5Q,,Heyward St,274.9602966308594,H5MyHpV2g5ZwVArEPbu9SA,,Heyward St
16384,8192,512,512,2022-2,1,spherical,272.9292297363281,89.1830825805664,0.09660713374614716,WrhnlrRYYrg07f0-UyGw5Q,,33.9906339294384,-81.00222264150173,,,,2828 Heyward St,,Columbia; South Carolina,US,85.11156463623047,2,275.0059509277344,KwaxSBQx7TJ-s0jR3yrzIg,,Heyward St,94.96482849121094,wJDhhM4B0bODCW4n9Nglwg,,Heyward St
16384,8192,512,512,2022-2,1,spherical,272.1105651855469,88.939453125,0.1821925938129425,wJDhhM4B0bODCW4n9Nglwg,,33.99062808156074,-81.00210504829339,,,,2832 Heyward St,,Columbia; South Carolina,US,85.60469055175781,2,274.9648132324219,WrhnlrRYYrg07f0-UyGw5Q,,Heyward St,94.95796966552734,5-QoOaCSPClStUd4lr1LJQ,,Heyward St
16384,8192,512,512,2022-2,1,spherical,268.7752075195312,88.8696060180664,0.7060840725898743,5-QoOaCSPClStUd4lr1LJQ,,33.99062553130795,-81.00198871935582,,,,2832 Heyward St,,Columbia; South Carolina,US,85.41653442382812,2,274.9579772949219,wJDhhM4B0bODCW4n9Nglwg,,Heyward St,95.00569915771484,UavLKQe9ux68snLcIkcrfw,,Heyward St
16384,8192,512,512,2022-2,1,spherical,106.3951568603516,91.30973815917969,1.904266595840454,UavLKQe9ux68snLcIkcrfw,,33.99056727156518,-81.00188672065359,,,,2898 Heyward St,,Columbia; South Carolina,US,85.95503997802734,2,98.9905776977539,hJ4ZFA-gNteikPQTTA7C9A,,S Holly St,275.0057067871094,5-QoOaCSPClStUd4lr1LJQ,,Heyward St
16384,8192,512,512,2022-2,1,spherical,32.00919342041016,90.43402862548828,358.6429443359375,hJ4ZFA-gNteikPQTTA7C9A,,33.99058744039434,-81.00179610186132,,,,100 S Holly St,,Columbia; South Carolina,US,86.32515716552734,4,4.490633010864258,q5nbHFSOzpW9rMUJubBxfQ,,Holly St,278.9905700683594,UavLKQe9ux68snLcIkcrfw,,Heyward St,107.7064743041992|lHc8dnEGx1fW8g9fSUTPYQ||Heyward St|185.0785064697266|U-eKbhLDF2_WAgh5KjYaaw||S Holly St
16384,8192,512,512,2022-2,1,spherical,5.664183139801025,88.62592315673828,358.5713806152344,U-eKbhLDF2_WAgh5KjYaaw,,33.99050202012708,-81.00185148470764,,,,100 S Holly St,,Columbia; South Carolina,US,85.68998718261719,2,5.07850456237793,hJ4ZFA-gNteikPQTTA7C9A,,S Holly St,185.0239562988281,IifZ85-OX2_fjJ36pQC0iw,,S Holly St
