index,distance,root_cente,root_botto,azimuth_ra,altitude_r,depth_h_di,median_wid,median_w_1,median_row,median_r_1,panoID,depth_x,depth_y,pano_x,pano_y,pano_headi,thumbnail_,trunk_head,image_file,azimuth_de,Type,h_distance,vertex_ang,pano_hea_1,tri_x,tri_y,left_col,right_col,diameter,folder,geometry,ec5_uuid,field_diameter_m,mean_diameter,error,error_abs,error_%
1,10.565660377358489,821,513,0.543000509738654,-0.212457299713735,10.328099047192312,57.0,449,793,849,1qW-D8Y0X-VqApGb-QfbcQ,608691.1613064184,239299.59659780856,608692.8780872027,239289.41218355604,94.25299835205078,319.32,350.4316374814772,1qW-D8Y0X-VqApGb-QfbcQ_0.0_0.0_0_319.32_L135.jpg,31.111637481477256,trunk,10.368955394451925,75.71410021140832,1.645025151120076,608691.1545151016,239299.63688576123,792.5,849.5,0.845966745525802,D:\OneDrive_PSU\OneDrive - The Pennsylvania State University\Research_doc\street_image_mapping\Heyward_st_pano_thumnail_segmented\1qW-D8Y0X-VqApGb-QfbcQ_0.0_0.0_0_319.32_L135_annotated.jpg,POINT (608691.1545151016 239299.63688576123),24763d55-4d76-498b-af6d-22d2799bb33a,0.873188417330078,0.8645999803867788,-0.008588436943299249,0.008588436943299249,0.009835720186898328
1,10.565660377358489,821,513,0.543000509738654,-0.212457299713735,10.328099047192312,57.0,449,793,849,1qW-D8Y0X-VqApGb-QfbcQ,608691.1613064184,239299.59659780856,608692.8780872027,239289.41218355604,94.25299835205078,319.32,350.4316374814772,1qW-D8Y0X-VqApGb-QfbcQ_0.0_0.0_0_319.32_L135.jpg,31.111637481477256,trunk,10.438433144098274,75.71410021140832,1.645025151120076,608691.1429662129,239299.70539693453,792.5,849.5,0.851635191721089,D:\OneDrive_PSU\OneDrive - The Pennsylvania State University\Research_doc\street_image_mapping\Heyward_st_pano_thumnail_segmented\1qW-D8Y0X-VqApGb-QfbcQ_0.0_0.0_0_319.32_L135_annotated.jpg,POINT (608691.1429662129 239299.70539693453),24763d55-4d76-498b-af6d-22d2799bb33a,0.873188417330078,0.8645999803867788,-0.008588436943299249,0.008588436943299249,0.009835720186898328
0,11.26851851851852,384,497,-0.244978663126864,-0.210928656045356,11.018773277468155,45.0,443,362,406,1qW-D8Y0X-VqApGb-QfbcQ,608691.0184618201,239300.2728998297,608692.8780872027,239289.41218355604,94.25299835205078,4.32,-9.716243467926477,1qW-D8Y0X-VqApGb-QfbcQ_0.0_0.0_0_4.32_L90.jpg,-14.036243467926477,trunk,10.416445315216905,75.56621926200467,1.645025151120076,608691.1201160006,239299.67921186308,361.5,406.5,0.86101016565094,D:\OneDrive_PSU\OneDrive - The Pennsylvania State University\Research_doc\street_image_mapping\Heyward_st_pano_thumnail_segmented\1qW-D8Y0X-VqApGb-QfbcQ_0.0_0.0_0_4.32_L90_annotated.jpg,POINT (608691.1201160006 239299.67921186308),24763d55-4d76-498b-af6d-22d2799bb33a,0.873188417330078,0.8645999803867788,-0.008588436943299249,0.008588436943299249,0.009835720186898328
0,11.26851851851852,384,497,-0.244978663126864,-0.210928656045356,11.018773277468155,45.0,443,362,406,1qW-D8Y0X-VqApGb-QfbcQ,608691.0184618201,239300.2728998297,608692.8780872027,239289.41218355604,94.25299835205078,4.32,-9.716243467926477,1qW-D8Y0X-VqApGb-QfbcQ_0.0_0.0_0_4.32_L90.jpg,-14.036243467926477,trunk,10.195243421265026,104.05544603442549,1.645025151120076,608691.1574479836,239299.46118296377,361.5,406.5,0.842725897497045,D:\OneDrive_PSU\OneDrive - The Pennsylvania State University\Research_doc\street_image_mapping\Heyward_st_pano_thumnail_segmented\1qW-D8Y0X-VqApGb-QfbcQ_0.0_0.0_0_4.32_L90_annotated.jpg,POINT (608691.1574479836 239299.46118296377),24763d55-4d76-498b-af6d-22d2799bb33a,0.873188417330078,0.8645999803867788,-0.008588436943299249,0.008588436943299249,0.009835720186898328
0,12.470967741935484,889,499,0.634693535349333,-0.17893306025095,12.271858098409904,54.0,443,861,914,S6VvURx_l3uEgRQ4y0ukKA,608690.9889531473,239299.44879671864,608682.880618132,239290.23720595118,94.91305541992188,4.99,41.35526085975408,S6VvURx_l3uEgRQ4y0ukKA_0.0_0.0_0_4.99_L90.jpg,36.36526085975408,trunk,12.522433932553227,53.36227641031479,1.656545320205486,608691.1545151016,239299.63688576123,862.0,916.0,0.856443551622783,D:\OneDrive_PSU\OneDrive - The Pennsylvania State University\Research_doc\street_image_mapping\Heyward_st_pano_thumnail_segmented\S6VvURx_l3uEgRQ4y0ukKA_0.0_0.0_0_4.99_L90_annotated.jpg,POINT (608691.1545151016 239299.63688576123),24763d55-4d76-498b-af6d-22d2799bb33a,0.873188417330078,0.8645999803867788,-0.008588436943299249,0.008588436943299249,0.009835720186898328
0,13.485454545454548,432,477,-0.154996741923941,-0.177572861814531,13.273400141548139,37.0,431,414,450,S6VvURx_l3uEgRQ4y0ukKA,608691.6078533652,239300.23813173338,608682.880618132,239290.23720595118,94.91305541992188,49.99,41.109340849479764,S6VvURx_l3uEgRQ4y0ukKA_0.0_0.0_0_49.99_L45.jpg,-8.880659150520243,trunk,12.566345383950203,53.60819642058911,1.656545320205486,608691.1429662129,239299.70539693453,413.5,450.5,0.885948340085669,D:\OneDrive_PSU\OneDrive - The Pennsylvania State University\Research_doc\street_image_mapping\Heyward_st_pano_thumnail_segmented\S6VvURx_l3uEgRQ4y0ukKA_0.0_0.0_0_49.99_L45_annotated.jpg,POINT (608691.1429662129 239299.70539693453),24763d55-4d76-498b-af6d-22d2799bb33a,0.873188417330078,0.8645999803867788,-0.008588436943299249,0.008588436943299249,0.009835720186898328
0,13.485454545454548,432,477,-0.154996741923941,-0.177572861814531,13.273400141548139,37.0,431,414,450,S6VvURx_l3uEgRQ4y0ukKA,608691.6078533652,239300.23813173338,608682.880618132,239290.23720595118,94.91305541992188,49.99,41.109340849479764,S6VvURx_l3uEgRQ4y0ukKA_0.0_0.0_0_49.99_L45.jpg,-8.880659150520243,trunk,12.531592108253143,53.60819642058911,1.656545320205486,608691.1201160006,239299.67921186308,413.5,450.5,0.883498176098002,D:\OneDrive_PSU\OneDrive - The Pennsylvania State University\Research_doc\street_image_mapping\Heyward_st_pano_thumnail_segmented\S6VvURx_l3uEgRQ4y0ukKA_0.0_0.0_0_49.99_L45_annotated.jpg,POINT (608691.1201160006 239299.67921186308),24763d55-4d76-498b-af6d-22d2799bb33a,0.873188417330078,0.8645999803867788,-0.008588436943299249,0.008588436943299249,0.009835720186898328
1,17.600671140939596,459,449,-0.103148244092669,-0.125613489657158,17.4619953449202,29.0,418,445,473,DU7TvUM9kxficfWKx-DP6Q,608689.9977682243,239300.53731769556,608702.7977158192,239288.65949706233,93.7020263671875,318.77,312.86004094930485,DU7TvUM9kxficfWKx-DP6Q_0.0_0.0_0_318.77_L135.jpg,-5.909959050695152,trunk,15.879932417937244,38.520838382805834,1.635408875897963,608691.1574479836,239299.46118296377,444.5,473.5,0.8895717748929,D:\OneDrive_PSU\OneDrive - The Pennsylvania State University\Research_doc\street_image_mapping\Heyward_st_pano_thumnail_segmented\DU7TvUM9kxficfWKx-DP6Q_0.0_0.0_0_318.77_L135_annotated.jpg,POINT (608691.1574479836 239299.46118296377),24763d55-4d76-498b-af6d-22d2799bb33a,0.873188417330078,0.8645999803867788,-0.008588436943299249,0.008588436943299249,0.009835720186898328
0,11.662564102564101,506,505,-0.011718213602394,-0.232054837946817,11.349959368496089,23.0,446,495,517,DU7TvUM9kxficfWKx-DP6Q,608703.4112303957,239299.99286273765,608702.7977158192,239288.65949706233,93.7020263671875,3.77,3.098595817150024,DU7TvUM9kxficfWKx-DP6Q_0.0_0.0_0_3.77_L90.jpg,-0.671404182849976,trunk,9.543216870946525,90.89939133207272,1.635408875897963,608703.3135681202,239298.18876170603,494.5,517.5,0.428532307620137,D:\OneDrive_PSU\OneDrive - The Pennsylvania State University\Research_doc\street_image_mapping\Heyward_st_pano_thumnail_segmented\DU7TvUM9kxficfWKx-DP6Q_0.0_0.0_0_3.77_L90_annotated.jpg,POINT (608703.3135681202 239298.18876170603),2254e854-3810-4374-9b8c-6df15bd4775f,0.501274832170971,0.4571258137794082,-0.04414901839156282,0.04414901839156282,0.08807347897431406
0,11.662564102564101,506,505,-0.011718213602394,-0.232054837946817,11.349959368496089,23.0,446,495,517,DU7TvUM9kxficfWKx-DP6Q,608703.4112303957,239299.99286273765,608702.7977158192,239288.65949706233,93.7020263671875,3.77,3.098595817150024,DU7TvUM9kxficfWKx-DP6Q_0.0_0.0_0_3.77_L90.jpg,-0.671404182849976,trunk,9.708755147492292,88.75939325065099,1.635408875897963,608703.3225161828,239298.35405796484,494.5,517.5,0.435965702523231,D:\OneDrive_PSU\OneDrive - The Pennsylvania State University\Research_doc\street_image_mapping\Heyward_st_pano_thumnail_segmented\DU7TvUM9kxficfWKx-DP6Q_0.0_0.0_0_3.77_L90_annotated.jpg,POINT (608703.3225161828 239298.35405796484),2254e854-3810-4374-9b8c-6df15bd4775f,0.501274832170971,0.4571258137794082,-0.04414901839156282,0.04414901839156282,0.08807347897431406
