index,distance,root_center_col,root_bottom_row,azimuth_rad,altitude_rad,depth_h_distance,median_wid,median_wid_row,median_row_start_col,median_row_end_col,panoID,depth_x,depth_y,pano_x,pano_y,pano_heading_deg,thumbnail_heading_deg,trunk_heading_deg,image_file,azimuth_deg,geometry,Type,h_distance_to_camera,vertex_angle_deg,pano_heading_rad,tri_x,tri_y,left_col,right_col,diameter
1,14.7,272,477,-0.4383365598579577,-0.16300879813272778,14.505128849673035,59.0,438,250,308,-apTLrvpSNEjvG8b5eWZ2A,609258.8692463416,239239.07197318165,609245.5737587038,239244.87100511946,93.675537109375,138.68,113.56516511385544,-apTLrvpSNEjvG8b5eWZ2A_0.0_0.0_0_138.68_R45.jpg,-25.114834886144557,POINT (609258.8692463416 239239.07197318165),trunk,14.27356855163888,19.66753002234188,1.634946551132725,609258.656996791,239239.16454909585,242.5,301.5,1.347659473044135
0,4.822245762711864,233,669,-0.4989361002961456,-0.45463279974018955,4.332413313953153,195.0,530,151,345,k5-O4GqXpRuptfifbbEKiA,609258.1650250251,239240.21494273137,609256.3274278262,239244.13833943036,93.48524475097656,183.49,154.90306720631492,k5-O4GqXpRuptfifbbEKiA_0.0_0.0_0_183.49_R90.jpg,-28.586932793685087,POINT (609258.1650250251 239240.21494273137),trunk,5.492311157751543,118.99456788519865,1.6316253229372872,609258.656996791,239239.16454909585,135.5,330.5,1.6056098054552974
0,6.70734463276836,998,592,0.7593519507497579,-0.28653760343712337,6.433874184177941,49.0,493,975,1023,-apTLrvpSNEjvG8b5eWZ2A,609240.8539745244,239240.49854879396,609245.5737587038,239244.87100511946,93.675537109375,183.68,227.1876619429871,-apTLrvpSNEjvG8b5eWZ2A_0.0_0.0_0_183.68_R90.jpg,43.50766194298708,POINT (609240.8539745244 239240.49854879396),trunk,6.958948061962741,133.29002685147353,1.634946551132725,609240.4687889721,239240.14170895956,973.5,1022.5,0.3504241568558008
0,16.118631178707222,777,454,0.47761101483833734,-0.1208278589766035,16.001113314683163,25.0,420,765,789,k5-O4GqXpRuptfifbbEKiA,609240.8114556539,239240.22806644044,609256.3274278262,239244.13833943036,93.48524475097656,228.49,255.8550953991969,k5-O4GqXpRuptfifbbEKiA_0.0_0.0_0_228.49_R135.jpg,27.365095399196868,POINT (609240.8114556539 239240.22806644044),trunk,16.35449422713637,18.042539692316666,1.6316253229372872,609240.4687889721,239240.14170895956,764.5,789.5,0.6297804651148599
0,11.540379403794036,536,510,0.04684071291596965,-0.24104430263185686,11.206737938685196,26.0,448,524,549,-apTLrvpSNEjvG8b5eWZ2A,609246.8159203441,239256.00868933502,609245.5737587038,239244.87100511946,93.675537109375,3.68,6.363775159468984,-apTLrvpSNEjvG8b5eWZ2A_0.0_0.0_0_3.68_L90.jpg,2.683775159468984,POINT (609246.8159203441 239256.00868933502),trunk,9.464319054296615,87.53385993204458,1.634946551132725,609246.6227895765,239254.27700689438,523.0,549.0,0.4794030848379377
0,15.450000000000001,492,462,-0.039042649955166986,-0.15106786694218363,15.274038932730985,19.0,424,483,501,k5-O4GqXpRuptfifbbEKiA,609245.7658122444,239255.17231159002,609256.3274278262,239244.13833943036,93.48524475097656,318.49,316.2530209365623,k5-O4GqXpRuptfifbbEKiA_0.0_0.0_0_318.49_L135.jpg,-2.236979063437701,POINT (609245.7658122444 239255.17231159002),trunk,14.034692070116357,42.355385845048716,1.6316253229372872,609246.6227895765,239254.27700689438,482.5,501.5,0.5199362070631856
0,9.376600441501106,44,552,-0.7405303366126925,-0.23761715434708727,9.113133209647948,46.0,471,24,69,-apTLrvpSNEjvG8b5eWZ2A,609246.56599358,239253.92996018322,609245.5737587038,239244.87100511946,93.675537109375,48.68,6.250737110690536,-apTLrvpSNEjvG8b5eWZ2A_0.0_0.0_0_48.68_L45.jpg,-42.42926288930946,POINT (609246.56599358 239253.92996018322),trunk,9.479969581884212,87.64689798082303,1.634946551132725,609246.6059346008,239254.2946156903,21.0,67.0,0.4641144690323724
0,15.450000000000001,492,462,-0.039042649955166986,-0.15106786694218363,15.274038932730985,19.0,424,483,501,k5-O4GqXpRuptfifbbEKiA,609245.7658122444,239255.17231159002,609256.3274278262,239244.13833943036,93.48524475097656,318.49,316.2530209365623,k5-O4GqXpRuptfifbbEKiA_0.0_0.0_0_318.49_L135.jpg,-2.236979063437701,POINT (609245.7658122444 239255.17231159002),trunk,14.059067465581098,42.355385845048716,1.6316253229372872,609246.6059346008,239254.2946156903,482.5,501.5,0.5208392301291913
1,8.123076923076924,480,510,-0.062418809995957336,-0.24084689534015638,7.888615008158576,15.0,450,474,488,-fDSjGwFgc5JAwpbACM6zQ,608996.3081658022,239260.00852137138,608990.8316085569,239265.68633498982,94.61164855957031,139.61,136.03366562500264,-fDSjGwFgc5JAwpbACM6zQ_0.0_0.0_0_139.61_R45.jpg,-3.5763343749973506,POINT (608996.3081658022 239260.00852137138),trunk,8.550284509675858,40.18723962046914,1.6512847781042526,608996.7675203149,239259.53228617637,472.5,487.5,0.24949557027149893
2,6.240875912408761,433,500,-0.15308959839910463,-0.22027936391880212,6.090074168838652,20.0,458,425,444,AeCT6wRpAcZl8vKrOetdiA,608997.2592574294,239260.07997812098,609001.3278794942,239264.61156921857,95.68699645996094,230.69,221.9186121243786,AeCT6wRpAcZl8vKrOetdiA_0.0_0.0_0_230.69_R135.jpg,-8.77138787562142,POINT (608997.2592574294 239260.07997812098),trunk,6.826125699634678,53.927813880154844,1.670053139570477,608996.7675203149,239259.53228617637,423.0,443.0,0.2603998595110076
2,6.153048780487806,887,654,0.6321558659907835,-0.4022411371283094,5.66194898655015,28.0,525,869,896,-fDSjGwFgc5JAwpbACM6zQ,608991.2433362992,239260.0393759327,608990.8316085569,239265.68633498982,94.61164855957031,139.61,175.82986311570954,-fDSjGwFgc5JAwpbACM6zQ_0.0_0.0_0_139.61_R45.jpg,36.21986311570955,POINT (608991.2433362992 239260.0393759327),trunk,5.479447779296755,79.98343711117604,1.6512847781042526,608991.2300651076,239260.22139397063,873.0,901.0,0.19503552827641726
1,12.548684210526316,657,491,0.2759764830090984,-0.1984302664936133,12.30244424319054,12.0,456,651,662,AeCT6wRpAcZl8vKrOetdiA,608990.0456031987,239259.70643150894,609001.3278794942,239264.61156921857,95.68699645996094,230.69,246.50228772128523,AeCT6wRpAcZl8vKrOetdiA_0.0_0.0_0_230.69_R135.jpg,15.81228772128521,POINT (608990.0456031987 239259.70643150894),trunk,11.0108807138522,29.344138283248213,1.670053139570477,608991.2300651076,239260.22139397063,651.0,663.0,0.23889447235965824
1,8.123076923076924,480,510,-0.062418809995957336,-0.24084689534015638,7.888615008158576,15.0,450,474,488,-fDSjGwFgc5JAwpbACM6zQ,608996.3081658022,239260.00852137138,608990.8316085569,239265.68633498982,94.61164855957031,139.61,136.03366562500264,-fDSjGwFgc5JAwpbACM6zQ_0.0_0.0_0_139.61_R45.jpg,-3.5763343749973506,POINT (608996.3081658022 239260.00852137138),trunk,8.533965092333446,40.18723962046914,1.6512847781042526,608996.7561907946,239259.54403204177,472.5,487.5,0.2490193729786795
2,5.632167832167833,889,527,0.6346935353493326,-0.22122380037523373,5.494909925815894,26.0,475,878,903,AeCT6wRpAcZl8vKrOetdiA,608997.6471303108,239260.53160346605,609001.3278794942,239264.61156921857,95.68699645996094,185.69,222.05526085975407,AeCT6wRpAcZl8vKrOetdiA_0.0_0.0_0_185.69_R90.jpg,36.36526085975408,POINT (608997.6471303108 239260.53160346605),trunk,6.824974036865286,53.79116514477937,1.670053139570477,608996.7561907946,239259.54403204177,876.0,902.0,0.22473696874500668
1,7.232653061224491,430,565,-0.15880760831563104,-0.3358435570766796,6.828583815083128,21.0,497,419,439,-fDSjGwFgc5JAwpbACM6zQ,608991.3660667842,239258.87869873905,608990.8316085569,239265.68633498982,94.61164855957031,184.61,175.51099428894767,-fDSjGwFgc5JAwpbACM6zQ_0.0_0.0_0_184.61_R90.jpg,-9.099005711052335,POINT (608991.3660667842 239258.87869873905),trunk,5.4688575813150235,79.66456828441417,1.6512847781042526,608991.2596440043,239260.23425383668,419.5,440.5,0.21865751355074053
1,12.548684210526316,657,491,0.2759764830090984,-0.1984302664936133,12.30244424319054,12.0,456,651,662,AeCT6wRpAcZl8vKrOetdiA,608990.0456031987,239259.70643150894,609001.3278794942,239264.61156921857,95.68699645996094,230.69,246.50228772128523,AeCT6wRpAcZl8vKrOetdiA_0.0_0.0_0_230.69_R135.jpg,15.81228772128521,POINT (608990.0456031987 239259.70643150894),trunk,10.978627228947564,29.344138283248213,1.670053139570477,608991.2596440043,239260.23425383668,651.0,663.0,0.2381946937081322
0,10.665123456790123,571,494,0.11472833645809236,-0.21027633481751237,10.430205690304758,59.0,440,542,600,-fDSjGwFgc5JAwpbACM6zQ,608992.8545572055,239275.91848381143,608990.8316085569,239265.68633498982,94.61164855957031,4.61,11.183449469605584,-fDSjGwFgc5JAwpbACM6zQ_0.0_0.0_0_4.61_L90.jpg,6.573449469605584,POINT (608992.8545572055 239275.91848381143),trunk,9.304200401654981,84.6629765349279,1.6512847781042526,608992.6361673726,239274.81385998812,541.5,600.5,1.0564516806954944
0,16.705586592178772,502,456,-0.019528767041413705,-0.13968257975595838,16.54287819039187,41.0,421,481,521,AeCT6wRpAcZl8vKrOetdiA,608990.59975433,239277.20419203053,609001.3278794942,239264.61156921857,95.68699645996094,320.69,319.5710840694328,AeCT6wRpAcZl8vKrOetdiA_0.0_0.0_0_320.69_L135.jpg,-1.1189159305671885,POINT (608990.59975433 239277.20419203053),trunk,13.402708552786807,43.72465806489936,1.670053139570477,608992.6361673726,239274.81385998812,481.5,522.5,1.0719968882708717
2,8.421370967741936,101,519,-0.6764060215601028,-0.2027921716472311,8.248800564690479,94.0,456,57,150,-fDSjGwFgc5JAwpbACM6zQ,608992.3850272318,239273.78754484866,608990.8316085569,239265.68633498982,94.61164855957031,49.61,10.854789727371138,-fDSjGwFgc5JAwpbACM6zQ_0.0_0.0_0_49.61_L45.jpg,-38.75521027262886,POINT (608992.3850272318 239273.78754484866),trunk,9.884734879059542,84.99163627716236,1.6512847781042526,608992.6931072846,239275.39420839833,54.0,148.0,1.1041090983015143
3,14.4016,11,482,-0.7745397550280998,-0.1359622483681688,14.268692863811768,18.0,434,0,17,AeCT6wRpAcZl8vKrOetdiA,608992.4088439245,239275.74918119554,609001.3278794942,239264.61156921857,95.68699645996094,5.69,-38.6878590282068,AeCT6wRpAcZl8vKrOetdiA_0.0_0.0_0_5.69_L90.jpg,-44.3778590282068,POINT (608992.4088439245 239275.74918119554),trunk,13.813927710516515,45.46571496725977,1.670053139570477,608992.6931072846,239275.39420839833,2.0,20.0,0.24810502591466863
0,6.0495049504950495,557,651,0.08766535678225543,-0.4791113011147358,5.368360668946322,60.0,523,528,587,0hGEr5NrV5PVdMKytvk_sg,609462.561356627,239216.8555779749,609465.6652522066,239221.23566113654,120.3006134033203,210.3,215.32285495313184,0hGEr5NrV5PVdMKytvk_sg_0.0_0.0_0_210.30_R90.jpg,5.0228549531318025,POINT (609462.561356627 239216.8555779749),trunk,4.785687168016534,93.7740604989323,2.09964179605676,609462.8982486161,239217.3309853753,527.0,587.0,0.5555997468256817
0,13.710601719197708,705,485,0.36048189854676305,-0.1825321742668699,13.482830304038323,29.0,436,691,719,GuryJQqPw286ng0WjbrK1w,609461.1185162351,239217.56320915263,609474.4880146215,239215.81872472947,121.7759857177734,256.78,277.4340913775926,GuryJQqPw286ng0WjbrK1w_0.0_0.0_0_256.78_R135.jpg,20.654091377592646,POINT (609461.1185162351 239217.56320915263),trunk,11.68801130738099,24.114703076606872,2.125391900636736,609462.8982486161,239217.3309853753,690.5,719.5,0.5795239123100697
0,13.808609271523178,921,492,0.6740259757104871,-0.16334036828894577,13.624811091212507,58.0,439,892,949,0hGEr5NrV5PVdMKytvk_sg,609478.3781803296,239226.1363688215,609465.6652522066,239221.23566113654,120.3006134033203,30.3,68.91884369039823,0hGEr5NrV5PVdMKytvk_sg_0.0_0.0_0_30.30_L90.jpg,38.61884369039825,POINT (609478.3781803296 239226.1363688215),trunk,12.862304812174463,52.629950763801304,2.09964179605676,609477.6667071609,239225.86210297246,892.0,950.0,0.8896120035178213
0,11.269749518304431,817,514,0.5372540432174786,-0.21477093545071854,11.010829715551168,63.0,451,784,846,GuryJQqPw286ng0WjbrK1w,609477.8104677506,239226.31632808593,609474.4880146215,239215.81872472947,121.7759857177734,346.78,377.5623892027006,GuryJQqPw286ng0WjbrK1w_0.0_0.0_0_346.78_L135.jpg,30.782389202700656,POINT (609477.8104677506 239226.31632808593),trunk,10.534397599853714,76.01359474850113,2.125391900636736,609477.6667071609,239225.86210297246,785.5,848.5,0.95643279510821
0,14.697435897435895,453,469,-0.11472833645809236,-0.16345285124576608,14.501538146182165,36.0,428,436,471,0hGEr5NrV5PVdMKytvk_sg,609479.1786476554,239226.4971012483,609465.6652522066,239221.23566113654,120.3006134033203,75.3,68.7265505303944,0hGEr5NrV5PVdMKytvk_sg_0.0_0.0_0_75.30_L45.jpg,-6.573449469605584,POINT (609479.1786476554 239226.4971012483),trunk,12.896984596445083,52.82224392380513,2.09964179605676,609477.6834292574,239225.91493800996,435.0,471.0,0.8944115127929733
0,11.269749518304431,817,514,0.5372540432174786,-0.21477093545071854,11.010829715551168,63.0,451,784,846,GuryJQqPw286ng0WjbrK1w,609477.8104677506,239226.31632808593,609474.4880146215,239215.81872472947,121.7759857177734,346.78,377.5623892027006,GuryJQqPw286ng0WjbrK1w_0.0_0.0_0_346.78_L135.jpg,30.782389202700656,POINT (609477.8104677506 239226.31632808593),trunk,10.589815734940169,76.01359474850113,2.125391900636736,609477.6834292574,239225.91493800996,785.5,848.5,0.9614642856455672
0,14.697435897435895,453,469,-0.11472833645809236,-0.16345285124576608,14.501538146182165,36.0,428,436,471,0hGEr5NrV5PVdMKytvk_sg,609479.1786476554,239226.4971012483,609465.6652522066,239221.23566113654,120.3006134033203,75.3,68.7265505303944,0hGEr5NrV5PVdMKytvk_sg_0.0_0.0_0_75.30_L45.jpg,-6.573449469605584,POINT (609479.1786476554 239226.4971012483),trunk,12.815746253218133,52.82224392380513,2.09964179605676,609477.607726539,239225.88546315886,435.0,471.0,0.8887775982202258
0,11.704308390022677,379,499,-0.25414851155543944,-0.2140636507565393,11.437166137287065,51.0,442,25,401,GuryJQqPw286ng0WjbrK1w,609477.8735781516,239226.7433175748,609474.4880146215,239215.81872472947,121.7759857177734,31.78,17.218362918341487,GuryJQqPw286ng0WjbrK1w_0.0_0.0_0_31.78_L90.jpg,-14.561637081658512,POINT (609477.8735781516 239226.7433175748),trunk,10.539061867822884,75.669568464142,2.125391900636736,609477.607726539,239225.88546315886,353.5,404.5,0.9825044053874135
1,15.377142857142859,257,476,-0.46208388861780986,-0.1594769634950656,15.182014257998512,23.0,432,246,268,15oCd-mPagUVtzLLr7urPg,609161.0670399505,239246.4253430394,609147.1563511797,239252.50697890914,95.09471893310547,140.09,113.61454340120629,15oCd-mPagUVtzLLr7urPg_0.0_0.0_0_140.09_R45.jpg,-26.475456598793723,POINT (609161.0670399505 239246.4253430394),trunk,14.705823279671291,18.962193933639256,1.6597159466412796,609160.6307246907,239246.61609639303,245.5,268.5,0.5292727611699748
